Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Amistad NRA,"110,780","162,016","51,236","584,624","711,228","126,604",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Arches NP,"225,206","163,699","-61,507","795,397","330,032","-465,365",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Aztec Ruins NM,"9,223","2,364","-6,859","27,137","12,974","-14,163",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Bandelier NM,"24,546","16,173","-8,373","101,189","40,352","-60,837",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Bent's Old Fort NHS,"3,251","1,795","-1,456","11,205","4,052","-7,153",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Big Bend NP,"21,228","26,735","5,507","264,224","182,472","-81,752",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Big Thicket NPRES,"22,177","33,378","11,201","111,683","121,539","9,856",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Bighorn Canyon NRA,"47,620","40,503","-7,117","104,648","81,796","-22,852",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Black Canyon of the Gunnison NP,"75,289","27,583","-47,706","199,034","96,430","-102,604",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Bryce Canyon NP,"398,290","195,463","-202,827","1,075,852","385,031","-690,821",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Canyon de Chelly NM,"44,751",0,"-44,751","189,844","73,311","-116,533",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Canyonlands NP,"92,295","63,685","-28,610","374,263","105,650","-268,613",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Capitol Reef NP,"151,410","158,421","7,011","593,083","342,876","-250,207",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Capulin Volcano NM,"15,510","9,414","-6,096","36,223","22,760","-13,463",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Carlsbad Caverns NP,"57,111","10,124","-46,987","215,314","83,704","-131,610",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Casa Grande Ruins NM,"3,203",937,"-2,266","42,705","31,767","-10,938",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
JUN 2019,JUN 2020,YTD 2019,YTD 2020,Intermountain  Region,Cedar Breaks NM,"79,434","117,658","38,224","129,467","238,041","108,574",Intermountain  Region Total,"8,228,862","5,235,096","-2,993,766","23,444,643","13,675,672","-9,768,971"
